year,word,frequency
1904,Alexandros Theofilakis,0
1906,Alexandros Theofilakis,20
1908,Alexandros Theofilakis,10
1912,Alexandros Theofilakis,12
1920,Alexandros Theofilakis,12
1924,Alexandros Theofilakis,8
1928,Alexandros Theofilakis,0
1932,Alexandros Theofilakis,0
1936,Alexandros Theofilakis,0
1948,Alexandros Theofilakis,0
1952,Alexandros Theofilakis,0
1956,Alexandros Theofilakis,0
1960,Alexandros Theofilakis,0
1964,Alexandros Theofilakis,0
1968,Alexandros Theofilakis,0
1972,Alexandros Theofilakis,0
1976,Alexandros Theofilakis,0
1980,Alexandros Theofilakis,0
1984,Alexandros Theofilakis,0
1988,Alexandros Theofilakis,0
1992,Alexandros Theofilakis,0
1994,Alexandros Theofilakis,0
1996,Alexandros Theofilakis,0
1998,Alexandros Theofilakis,0
2000,Alexandros Theofilakis,0
2002,Alexandros Theofilakis,0
2004,Alexandros Theofilakis,0
2006,Alexandros Theofilakis,0
2008,Alexandros Theofilakis,0
2010,Alexandros Theofilakis,0
2012,Alexandros Theofilakis,0
2014,Alexandros Theofilakis,0
2016,Alexandros Theofilakis,0
1896,Jean Lucien Nicolas Jacoby,0
1900,Jean Lucien Nicolas Jacoby,0
1904,Jean Lucien Nicolas Jacoby,0
1906,Jean Lucien Nicolas Jacoby,0
1908,Jean Lucien Nicolas Jacoby,0
1912,Jean Lucien Nicolas Jacoby,0
1920,Jean Lucien Nicolas Jacoby,0
1924,Jean Lucien Nicolas Jacoby,2
1928,Jean Lucien Nicolas Jacoby,8
1932,Jean Lucien Nicolas Jacoby,10
1936,Jean Lucien Nicolas Jacoby,20
1948,Jean Lucien Nicolas Jacoby,0
1952,Jean Lucien Nicolas Jacoby,0
1956,Jean Lucien Nicolas Jacoby,0
1960,Jean Lucien Nicolas Jacoby,0
1964,Jean Lucien Nicolas Jacoby,0
1968,Jean Lucien Nicolas Jacoby,0
1972,Jean Lucien Nicolas Jacoby,0
1976,Jean Lucien Nicolas Jacoby,0
1980,Jean Lucien Nicolas Jacoby,0
1984,Jean Lucien Nicolas Jacoby,0
1988,Jean Lucien Nicolas Jacoby,0
1992,Jean Lucien Nicolas Jacoby,0
1994,Jean Lucien Nicolas Jacoby,0
1996,Jean Lucien Nicolas Jacoby,0
1998,Jean Lucien Nicolas Jacoby,0
2000,Jean Lucien Nicolas Jacoby,0
2002,Jean Lucien Nicolas Jacoby,0
2004,Jean Lucien Nicolas Jacoby,0
2006,Jean Lucien Nicolas Jacoby,0
2008,Jean Lucien Nicolas Jacoby,0
2010,Jean Lucien Nicolas Jacoby,0
2012,Jean Lucien Nicolas Jacoby,0
2014,Jean Lucien Nicolas Jacoby,0
2016,Jean Lucien Nicolas Jacoby,0
1896,Andreas Wecker,0
1900,Andreas Wecker,0
1904,Andreas Wecker,0
1906,Andreas Wecker,0
1908,Andreas Wecker,0
1912,Andreas Wecker,0
1920,Andreas Wecker,0
1924,Andreas Wecker,0
1928,Andreas Wecker,0
1932,Andreas Wecker,0
1936,Andreas Wecker,0
1948,Andreas Wecker,0
1952,Andreas Wecker,0
1956,Andreas Wecker,0
1960,Andreas Wecker,0
1964,Andreas Wecker,0
1968,Andreas Wecker,0
1972,Andreas Wecker,0
1976,Andreas Wecker,0
1980,Andreas Wecker,0
1984,Andreas Wecker,0
1988,Andreas Wecker,20
1992,Andreas Wecker,20
1994,Andreas Wecker,0
1996,Andreas Wecker,20
1998,Andreas Wecker,0
2000,Andreas Wecker,20
2002,Andreas Wecker,0
2004,Andreas Wecker,0
2006,Andreas Wecker,0
2008,Andreas Wecker,0
2010,Andreas Wecker,0
2012,Andreas Wecker,0
2014,Andreas Wecker,0
2016,Andreas Wecker,0
1896,Alfrd (Arnold-) Hajs (Guttmann-),2
1900,Alfrd (Arnold-) Hajs (Guttmann-),0
1904,Alfrd (Arnold-) Hajs (Guttmann-),0
1906,Alfrd (Arnold-) Hajs (Guttmann-),0
1908,Alfrd (Arnold-) Hajs (Guttmann-),0
1912,Alfrd (Arnold-) Hajs (Guttmann-),0
1920,Alfrd (Arnold-) Hajs (Guttmann-),0
1924,Alfrd (Arnold-) Hajs (Guttmann-),1
1928,Alfrd (Arnold-) Hajs (Guttmann-),20
1932,Alfrd (Arnold-) Hajs (Guttmann-),1
1936,Alfrd (Arnold-) Hajs (Guttmann-),0
1948,Alfrd (Arnold-) Hajs (Guttmann-),0
1952,Alfrd (Arnold-) Hajs (Guttmann-),0
1956,Alfrd (Arnold-) Hajs (Guttmann-),0
1960,Alfrd (Arnold-) Hajs (Guttmann-),0
1964,Alfrd (Arnold-) Hajs (Guttmann-),0
1968,Alfrd (Arnold-) Hajs (Guttmann-),0
1972,Alfrd (Arnold-) Hajs (Guttmann-),0
1976,Alfrd (Arnold-) Hajs (Guttmann-),0
1980,Alfrd (Arnold-) Hajs (Guttmann-),0
1984,Alfrd (Arnold-) Hajs (Guttmann-),0
1988,Alfrd (Arnold-) Hajs (Guttmann-),0
1992,Alfrd (Arnold-) Hajs (Guttmann-),0
1994,Alfrd (Arnold-) Hajs (Guttmann-),0
1996,Alfrd (Arnold-) Hajs (Guttmann-),0
1998,Alfrd (Arnold-) Hajs (Guttmann-),0
2000,Alfrd (Arnold-) Hajs (Guttmann-),0
2002,Alfrd (Arnold-) Hajs (Guttmann-),0
2004,Alfrd (Arnold-) Hajs (Guttmann-),0
2006,Alfrd (Arnold-) Hajs (Guttmann-),0
2008,Alfrd (Arnold-) Hajs (Guttmann-),0
2010,Alfrd (Arnold-) Hajs (Guttmann-),0
2012,Alfrd (Arnold-) Hajs (Guttmann-),0
2014,Alfrd (Arnold-) Hajs (Guttmann-),0
2016,Alfrd (Arnold-) Hajs (Guttmann-),0
1896,Alfred James Munnings,0
1900,Alfred James Munnings,0
1904,Alfred James Munnings,0
1906,Alfred James Munnings,0
1908,Alfred James Munnings,0
1912,Alfred James Munnings,0
1920,Alfred James Munnings,0
1924,Alfred James Munnings,0
1928,Alfred James Munnings,4
1932,Alfred James Munnings,1
1936,Alfred James Munnings,0
1948,Alfred James Munnings,20
1952,Alfred James Munnings,0
1956,Alfred James Munnings,0
1960,Alfred James Munnings,0
1964,Alfred James Munnings,0
1968,Alfred James Munnings,0
1972,Alfred James Munnings,0
1976,Alfred James Munnings,0
1980,Alfred James Munnings,0
1984,Alfred James Munnings,0
1988,Alfred James Munnings,0
1992,Alfred James Munnings,0
1994,Alfred James Munnings,0
1996,Alfred James Munnings,0
1998,Alfred James Munnings,0
2000,Alfred James Munnings,0
2002,Alfred James Munnings,0
2004,Alfred James Munnings,0
2006,Alfred James Munnings,0
2008,Alfred James Munnings,0
2010,Alfred James Munnings,0
2012,Alfred James Munnings,0
2014,Alfred James Munnings,0
2016,Alfred James Munnings,0
1896,United States,0
1900,United States,2
1904,United States,18
1906,United States,2
1908,United States,5
1912,United States,8
1920,United States,10
1924,United States,11
1928,United States,10
1932,United States,17
1936,United States,12
1948,United States,11
1952,United States,11
1956,United States,11
1960,United States,11
1964,United States,13
1968,United States,14
1972,United States,15
1976,United States,15
1980,United States,3
1984,United States,18
1988,United States,19
1992,United States,20
1994,United States,5
1996,United States,18
1998,United States,6
2000,United States,16
2002,United States,6
2004,United States,15
2006,United States,6
2008,United States,16
2010,United States,7
2012,United States,15
2014,United States,7
2016,United States,15
1896,France,1
1900,France,20
1904,France,0
1906,France,5
1908,France,9
1912,France,7
1920,France,13
1924,France,20
1928,France,14
1932,France,5
1936,France,10
1948,France,14
1952,France,13
1956,France,8
1960,France,13
1964,France,8
1968,France,13
1972,France,13
1976,France,11
1980,France,8
1984,France,13
1988,France,16
1992,France,19
1994,France,5
1996,France,14
1998,France,5
2000,France,14
2002,France,5
2004,France,14
2006,France,5
2008,France,13
2010,France,6
2012,France,13
2014,France,6
2016,France,15
1896,Great Britain,1
1900,Great Britain,2
1904,Great Britain,0
1906,Great Britain,3
1908,Great Britain,20
1912,Great Britain,10
1920,Great Britain,9
1924,Great Britain,12
1928,Great Britain,10
1932,Great Britain,5
1936,Great Britain,8
1948,Great Britain,17
1952,Great Britain,12
1956,Great Britain,9
1960,Great Britain,12
1964,Great Britain,10
1968,Great Britain,11
1972,Great Britain,13
1976,Great Britain,11
1980,Great Britain,11
1984,Great Britain,16
1988,Great Britain,15
1992,Great Britain,16
1994,Great Britain,1
1996,Great Britain,10
1998,Great Britain,1
2000,Great Britain,11
2002,Great Britain,2
2004,Great Britain,10
2006,Great Britain,2
2008,Great Britain,11
2010,Great Britain,2
2012,Great Britain,18
2014,Great Britain,2
2016,Great Britain,13
1896,Italy,0
1900,Italy,2
1904,Italy,0
1906,Italy,2
1908,Italy,4
1912,Italy,4
1920,Italy,10
1924,Italy,12
1928,Italy,10
1932,Italy,6
1936,Italy,13
1948,Italy,13
1952,Italy,14
1956,Italy,10
1960,Italy,16
1964,Italy,11
1968,Italy,12
1972,Italy,14
1976,Italy,13
1980,Italy,10
1984,Italy,16
1988,Italy,16
1992,Italy,20
1994,Italy,6
1996,Italy,16
1998,Italy,6
2000,Italy,16
2002,Italy,7
2004,Italy,16
2006,Italy,9
2008,Italy,16
2010,Italy,7
2012,Italy,13
2014,Italy,8
2016,Italy,14
1896,Germany,3
1900,Germany,1
1904,Germany,2
1906,Germany,4
1908,Germany,4
1912,Germany,7
1920,Germany,0
1924,Germany,0
1928,Germany,11
1932,Germany,6
1936,Germany,16
1948,Germany,0
1952,Germany,11
1956,Germany,9
1960,Germany,13
1964,Germany,15
1968,Germany,0
1972,Germany,0
1976,Germany,0
1980,Germany,0
1984,Germany,0
1988,Germany,0
1992,Germany,20
1994,Germany,4
1996,Germany,16
1998,Germany,5
2000,Germany,14
2002,Germany,6
2004,Germany,15
2006,Germany,6
2008,Germany,14
2010,Germany,6
2012,Germany,13
2014,Germany,6
2016,Germany,13
1896,Canada,0
1900,Canada,1
1904,Canada,1
1906,Canada,1
1908,Canada,4
1912,Canada,2
1920,Canada,3
1924,Canada,4
1928,Canada,5
1932,Canada,7
1936,Canada,7
1948,Canada,7
1952,Canada,7
1956,Canada,6
1960,Canada,7
1964,Canada,8
1968,Canada,12
1972,Canada,13
1976,Canada,19
1980,Canada,3
1984,Canada,20
1988,Canada,20
1992,Canada,19
1994,Canada,4
1996,Canada,12
1998,Canada,6
2000,Canada,13
2002,Canada,6
2004,Canada,12
2006,Canada,9
2008,Canada,14
2010,Canada,9
2012,Canada,11
2014,Canada,10
2016,Canada,12
1896,Japan,0
1900,Japan,0
1904,Japan,0
1906,Japan,0
1908,Japan,0
1912,Japan,1
1920,Japan,1
1924,Japan,2
1928,Japan,3
1932,Japan,9
1936,Japan,14
1948,Japan,0
1952,Japan,6
1956,Japan,10
1960,Japan,14
1964,Japan,20
1968,Japan,15
1972,Japan,16
1976,Japan,16
1980,Japan,4
1984,Japan,17
1988,Japan,20
1992,Japan,20
1994,Japan,5
1996,Japan,17
1998,Japan,9
2000,Japan,14
2002,Japan,8
2004,Japan,16
2006,Japan,8
2008,Japan,17
2010,Japan,6
2012,Japan,15
2014,Japan,7
2016,Japan,17
1896,Sweden,1
1900,Sweden,1
1904,Sweden,0
1906,Sweden,4
1908,Sweden,9
1912,Sweden,20
1920,Sweden,13
1924,Sweden,10
1928,Sweden,6
1932,Sweden,5
1936,Sweden,9
1948,Sweden,10
1952,Sweden,14
1956,Sweden,9
1960,Sweden,11
1964,Sweden,9
1968,Sweden,10
1972,Sweden,10
1976,Sweden,8
1980,Sweden,11
1984,Sweden,12
1988,Sweden,13
1992,Sweden,13
1994,Sweden,5
1996,Sweden,8
1998,Sweden,5
2000,Sweden,7
2002,Sweden,6
2004,Sweden,6
2006,Sweden,6
2008,Sweden,6
2010,Sweden,6
2012,Sweden,6
2014,Sweden,5
2016,Sweden,7
1896,Australia,1
1900,Australia,1
1904,Australia,1
1906,Australia,1
1908,Australia,0
1912,Australia,0
1920,Australia,1
1924,Australia,2
1928,Australia,1
1932,Australia,1
1936,Australia,2
1948,Australia,3
1952,Australia,5
1956,Australia,11
1960,Australia,9
1964,Australia,11
1968,Australia,7
1972,Australia,8
1976,Australia,8
1980,Australia,6
1984,Australia,10
1988,Australia,10
1992,Australia,12
1994,Australia,2
1996,Australia,15
1998,Australia,1
2000,Australia,20
2002,Australia,2
2004,Australia,16
2006,Australia,2
2008,Australia,15
2010,Australia,2
2012,Australia,14
2014,Australia,3
2016,Australia,14
1896,Hungary,1
1900,Hungary,2
1904,Hungary,1
1906,Hungary,5
1908,Hungary,5
1912,Hungary,10
1920,Hungary,0
1924,Hungary,7
1928,Hungary,12
1932,Hungary,6
1936,Hungary,18
1948,Hungary,13
1952,Hungary,18
1956,Hungary,10
1960,Hungary,16
1964,Hungary,18
1968,Hungary,16
1972,Hungary,18
1976,Hungary,15
1980,Hungary,20
1984,Hungary,1
1988,Hungary,16
1992,Hungary,20
1994,Hungary,2
1996,Hungary,16
1998,Hungary,2
2000,Hungary,12
2002,Hungary,3
2004,Hungary,13
2006,Hungary,2
2008,Hungary,11
2010,Hungary,2
2012,Hungary,10
2014,Hungary,2
2016,Hungary,10
1896,London,0
1900,London,0
1904,London,0
1906,London,0
1908,London,5
1912,London,0
1920,London,0
1924,London,0
1928,London,0
1932,London,0
1936,London,0
1948,London,10
1952,London,0
1956,London,0
1960,London,0
1964,London,0
1968,London,0
1972,London,0
1976,London,0
1980,London,0
1984,London,0
1988,London,0
1992,London,0
1994,London,0
1996,London,0
1998,London,0
2000,London,0
2002,London,0
2004,London,0
2006,London,0
2008,London,0
2010,London,0
2012,London,20
2014,London,0
2016,London,0
1896,Athina,1
1900,Athina,0
1904,Athina,0
1906,Athina,3
1908,Athina,0
1912,Athina,0
1920,Athina,0
1924,Athina,0
1928,Athina,0
1932,Athina,0
1936,Athina,0
1948,Athina,0
1952,Athina,0
1956,Athina,0
1960,Athina,0
1964,Athina,0
1968,Athina,0
1972,Athina,0
1976,Athina,0
1980,Athina,0
1984,Athina,0
1988,Athina,0
1992,Athina,0
1994,Athina,0
1996,Athina,0
1998,Athina,0
2000,Athina,0
2002,Athina,0
2004,Athina,20
2006,Athina,0
2008,Athina,0
2010,Athina,0
2012,Athina,0
2014,Athina,0
2016,Athina,0
1896,Sydney,0
1900,Sydney,0
1904,Sydney,0
1906,Sydney,0
1908,Sydney,0
1912,Sydney,0
1920,Sydney,0
1924,Sydney,0
1928,Sydney,0
1932,Sydney,0
1936,Sydney,0
1948,Sydney,0
1952,Sydney,0
1956,Sydney,0
1960,Sydney,0
1964,Sydney,0
1968,Sydney,0
1972,Sydney,0
1976,Sydney,0
1980,Sydney,0
1984,Sydney,0
1988,Sydney,0
1992,Sydney,0
1994,Sydney,0
1996,Sydney,0
1998,Sydney,0
2000,Sydney,20
2002,Sydney,0
2004,Sydney,0
2006,Sydney,0
2008,Sydney,0
2010,Sydney,0
2012,Sydney,0
2014,Sydney,0
2016,Sydney,0
1896,Atlanta,0
1900,Atlanta,0
1904,Atlanta,0
1906,Atlanta,0
1908,Atlanta,0
1912,Atlanta,0
1920,Atlanta,0
1924,Atlanta,0
1928,Atlanta,0
1932,Atlanta,0
1936,Atlanta,0
1948,Atlanta,0
1952,Atlanta,0
1956,Atlanta,0
1960,Atlanta,0
1964,Atlanta,0
1968,Atlanta,0
1972,Atlanta,0
1976,Atlanta,0
1980,Atlanta,0
1984,Atlanta,0
1988,Atlanta,0
1992,Atlanta,0
1994,Atlanta,0
1996,Atlanta,20
1998,Atlanta,0
2000,Atlanta,0
2002,Atlanta,0
2004,Atlanta,0
2006,Atlanta,0
2008,Atlanta,0
2010,Atlanta,0
2012,Atlanta,0
2014,Atlanta,0
2016,Atlanta,0
1896,Rio de Janeiro,0
1900,Rio de Janeiro,0
1904,Rio de Janeiro,0
1906,Rio de Janeiro,0
1908,Rio de Janeiro,0
1912,Rio de Janeiro,0
1920,Rio de Janeiro,0
1924,Rio de Janeiro,0
1928,Rio de Janeiro,0
1932,Rio de Janeiro,0
1936,Rio de Janeiro,0
1948,Rio de Janeiro,0
1952,Rio de Janeiro,0
1956,Rio de Janeiro,0
1960,Rio de Janeiro,0
1964,Rio de Janeiro,0
1968,Rio de Janeiro,0
1972,Rio de Janeiro,0
1976,Rio de Janeiro,0
1980,Rio de Janeiro,0
1984,Rio de Janeiro,0
1988,Rio de Janeiro,0
1992,Rio de Janeiro,0
1994,Rio de Janeiro,0
1996,Rio de Janeiro,0
1998,Rio de Janeiro,0
2000,Rio de Janeiro,0
2002,Rio de Janeiro,0
2004,Rio de Janeiro,0
2006,Rio de Janeiro,0
2008,Rio de Janeiro,0
2010,Rio de Janeiro,0
2012,Rio de Janeiro,0
2014,Rio de Janeiro,0
2016,Rio de Janeiro,20
1896,Beijing,0
1900,Beijing,0
1904,Beijing,0
1906,Beijing,0
1908,Beijing,0
1912,Beijing,0
1920,Beijing,0
1924,Beijing,0
1928,Beijing,0
1932,Beijing,0
1936,Beijing,0
1948,Beijing,0
1952,Beijing,0
1956,Beijing,0
1960,Beijing,0
1964,Beijing,0
1968,Beijing,0
1972,Beijing,0
1976,Beijing,0
1980,Beijing,0
1984,Beijing,0
1988,Beijing,0
1992,Beijing,0
1994,Beijing,0
1996,Beijing,0
1998,Beijing,0
2000,Beijing,0
2002,Beijing,0
2004,Beijing,0
2006,Beijing,0
2008,Beijing,20
2010,Beijing,0
2012,Beijing,0
2014,Beijing,0
2016,Beijing,0
1896,Barcelona,0
1900,Barcelona,0
1904,Barcelona,0
1906,Barcelona,0
1908,Barcelona,0
1912,Barcelona,0
1920,Barcelona,0
1924,Barcelona,0
1928,Barcelona,0
1932,Barcelona,0
1936,Barcelona,0
1948,Barcelona,0
1952,Barcelona,0
1956,Barcelona,0
1960,Barcelona,0
1964,Barcelona,0
1968,Barcelona,0
1972,Barcelona,0
1976,Barcelona,0
1980,Barcelona,0
1984,Barcelona,0
1988,Barcelona,0
1992,Barcelona,20
1994,Barcelona,0
1996,Barcelona,0
1998,Barcelona,0
2000,Barcelona,0
2002,Barcelona,0
2004,Barcelona,0
2006,Barcelona,0
2008,Barcelona,0
2010,Barcelona,0
2012,Barcelona,0
2014,Barcelona,0
2016,Barcelona,0
1896,Los Angeles,0
1900,Los Angeles,0
1904,Los Angeles,0
1906,Los Angeles,0
1908,Los Angeles,0
1912,Los Angeles,0
1920,Los Angeles,0
1924,Los Angeles,0
1928,Los Angeles,0
1932,Los Angeles,7
1936,Los Angeles,0
1948,Los Angeles,0
1952,Los Angeles,0
1956,Los Angeles,0
1960,Los Angeles,0
1964,Los Angeles,0
1968,Los Angeles,0
1972,Los Angeles,0
1976,Los Angeles,0
1980,Los Angeles,0
1984,Los Angeles,20
1988,Los Angeles,0
1992,Los Angeles,0
1994,Los Angeles,0
1996,Los Angeles,0
1998,Los Angeles,0
2000,Los Angeles,0
2002,Los Angeles,0
2004,Los Angeles,0
2006,Los Angeles,0
2008,Los Angeles,0
2010,Los Angeles,0
2012,Los Angeles,0
2014,Los Angeles,0
2016,Los Angeles,0
1896,Seoul,0
1900,Seoul,0
1904,Seoul,0
1906,Seoul,0
1908,Seoul,0
1912,Seoul,0
1920,Seoul,0
1924,Seoul,0
1928,Seoul,0
1932,Seoul,0
1936,Seoul,0
1948,Seoul,0
1952,Seoul,0
1956,Seoul,0
1960,Seoul,0
1964,Seoul,0
1968,Seoul,0
1972,Seoul,0
1976,Seoul,0
1980,Seoul,0
1984,Seoul,0
1988,Seoul,20
1992,Seoul,0
1994,Seoul,0
1996,Seoul,0
1998,Seoul,0
2000,Seoul,0
2002,Seoul,0
2004,Seoul,0
2006,Seoul,0
2008,Seoul,0
2010,Seoul,0
2012,Seoul,0
2014,Seoul,0
2016,Seoul,0
1896,Munich,0
1900,Munich,0
1904,Munich,0
1906,Munich,0
1908,Munich,0
1912,Munich,0
1920,Munich,0
1924,Munich,0
1928,Munich,0
1932,Munich,0
1936,Munich,0
1948,Munich,0
1952,Munich,0
1956,Munich,0
1960,Munich,0
1964,Munich,0
1968,Munich,0
1972,Munich,20
1976,Munich,0
1980,Munich,0
1984,Munich,0
1988,Munich,0
1992,Munich,0
1994,Munich,0
1996,Munich,0
1998,Munich,0
2000,Munich,0
2002,Munich,0
2004,Munich,0
2006,Munich,0
2008,Munich,0
2010,Munich,0
2012,Munich,0
2014,Munich,0
2016,Munich,0
1896,Athletics,1
1900,Athletics,2
1904,Athletics,2
1906,Athletics,4
1908,Athletics,7
1912,Athletics,8
1920,Athletics,7
1924,Athletics,8
1928,Athletics,8
1932,Athletics,5
1936,Athletics,9
1948,Athletics,9
1952,Athletics,11
1956,Athletics,9
1960,Athletics,11
1964,Athletics,11
1968,Athletics,11
1972,Athletics,14
1976,Athletics,11
1980,Athletics,11
1984,Athletics,14
1988,Athletics,17
1992,Athletics,17
1994,Athletics,0
1996,Athletics,20
1998,Athletics,0
2000,Athletics,20
2002,Athletics,0
2004,Athletics,18
2006,Athletics,0
2008,Athletics,18
2010,Athletics,0
2012,Athletics,19
2014,Athletics,0
2016,Athletics,20
1896,Gymnastics,1
1900,Gymnastics,2
1904,Gymnastics,4
1906,Gymnastics,2
1908,Gymnastics,3
1912,Gymnastics,3
1920,Gymnastics,3
1924,Gymnastics,6
1928,Gymnastics,6
1932,Gymnastics,2
1936,Gymnastics,8
1948,Gymnastics,9
1952,Gymnastics,20
1956,Gymnastics,8
1960,Gymnastics,15
1964,Gymnastics,13
1968,Gymnastics,13
1972,Gymnastics,14
1976,Gymnastics,11
